"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","desc","fc"
"1","sa_c4225s3576_a_at",6.87315510061678,6.37263996694465,90.4248951425612,0,9.11583150084127e-09,18.0752217857413,"sa_c4225s3576_a_at|1122070 // gi|1122070|ref|NC_002758.2|NC_002758.2(GI:57634611):2180466-2181514(+) Staphylococcus aureus subsp. aureus Mu50, GENE=leuB PRODUCT=3-isopropylmalate dehydrogenase LOCUS=SAV2058 // ncbi_bacterial // 20 // --- /// 1124757 // gi|1124757|ref|NC_002745.2|NC_002745.2(GI:29165615):2104033-2105081(+) Staphylococcus aureus subsp. aureus N315, GENE=leuB PRODUCT=3-isopropylmalate dehydrogenase LOCUS=SA1863 // ncbi_bacterial // 20 // --- /// 3238128 // gi|3238128|ref|NC_002951.2|NC_002951.2(GI:57650036):2107510-2108558(+) Staphylococcus aureus subsp. aureus COL, GENE=leuB PRODUCT=3-isopropylmalate dehydrogenase LOCUS=SACOL2047 // ncbi_bacterial // 20 // ---",117.226513920019
"2","sa_c4217s3569_at",7.91005487755553,5.45753845137309,87.3400482201837,0,9.11583150084127e-09,17.9374346281718,"sa_c4217s3569_at|1122067 // gi|1122067|ref|NC_002758.2|NC_002758.2(GI:57634611):2177509-2177765(+) Staphylococcus aureus subsp. aureus Mu50,  PRODUCT=similar to acetolactate synthase small subunit LOCUS=SAV2055 // ncbi_bacterial // 20 // --- /// 1124754 // gi|1124754|ref|NC_002745.2|NC_002745.2(GI:29165615):2101076-2101332(+) Staphylococcus aureus subsp. aureus N315,  PRODUCT=hypothetical protein LOCUS=SA1860 // ncbi_bacterial // 20 // --- /// 3237563 // gi|3237563|ref|NC_002951.2|NC_002951.2(GI:57650036):2104553-2104809(+) Staphylococcus aureus subsp. aureus COL,   LOCUS=SACOL2044 // ncbi_bacterial // 20 // ---",240.526972843384
"3","sa_c9313s8155_a_at",-6.53100503492383,3.74220005797815,-67.8801136095681,0,3.25374333361056e-08,16.7875116426089,"sa_c9313s8155_a_at|1121232 // gi|1121232|ref|NC_002758.2|NC_002758.2(GI:57634611):1320407-1321182(+) Staphylococcus aureus subsp. aureus Mu50, GENE=codY PRODUCT=transcriptional repressor CodY LOCUS=SAV1255 // ncbi_bacterial // 20 // --- /// 1123929 // gi|1123929|ref|NC_002745.2|NC_002745.2(GI:29165615):1244078-1244853(+) Staphylococcus aureus subsp. aureus N315, GENE=codY PRODUCT=transcriptional repressor CodY LOCUS=SA1098 // ncbi_bacterial // 20 // --- /// 3238033 // gi|3238033|ref|NC_002951.2|NC_002951.2(GI:57650036):1283470-1284245(+) Staphylococcus aureus subsp. aureus COL, GENE=codY PRODUCT=transcriptional repressor CodY LOCUS=SACOL1272 // ncbi_bacterial // 20 // ---",0.0108136319176245
"4","sa_c4243s3594_a_at",6.13581266945291,4.18040187904593,66.8223923989039,0,3.25374333361056e-08,16.7073456885851,"sa_c4243s3594_a_at|1122073 // gi|1122073|ref|NC_002758.2|NC_002758.2(GI:57634611):2183484-2184754(+) Staphylococcus aureus subsp. aureus Mu50, GENE=ilvA PRODUCT=threonine dehydratase LOCUS=SAV2061 // ncbi_bacterial // 19 // --- /// 1124760 // gi|1124760|ref|NC_002745.2|NC_002745.2(GI:29165615):2107051-2108321(+) Staphylococcus aureus subsp. aureus N315, GENE=ilvA PRODUCT=threonine dehydratase LOCUS=SA1866 // ncbi_bacterial // 19 // --- /// 3238418 // gi|3238418|ref|NC_002951.2|NC_002951.2(GI:57650036):2110528-2111798(+) Staphylococcus aureus subsp. aureus COL, GENE=ilvA2 PRODUCT=threonine dehydratase LOCUS=SACOL2050 // ncbi_bacterial // 19 // ---",70.3175387656057
"5","sa_c4223s3575_a_at",7.55042280410417,6.3504139874944,64.2023705072343,0,3.38480045571509e-08,16.4988259804925,"sa_c4223s3575_a_at|1122069 // gi|1122069|ref|NC_002758.2|NC_002758.2(GI:57634611):2178934-2180465(+) Staphylococcus aureus subsp. aureus Mu50, GENE=leuA PRODUCT=2-isopropylmalate synthase LOCUS=SAV2057 // ncbi_bacterial // 20 // --- /// 1124756 // gi|1124756|ref|NC_002745.2|NC_002745.2(GI:29165615):2102501-2104032(+) Staphylococcus aureus subsp. aureus N315, GENE=leuA PRODUCT=2-isopropylmalate synthase LOCUS=SA1862 // ncbi_bacterial // 20 // --- /// 3238700 // gi|3238700|ref|NC_002951.2|NC_002951.2(GI:57650036):2105978-2107509(+) Staphylococcus aureus subsp. aureus COL, GENE=leuA PRODUCT=2-isopropylmalate synthase LOCUS=SACOL2046 // ncbi_bacterial // 20 // ---",187.457898469326
"6","sa_c4229s3580_a_at",6.72203333752388,6.27495674967108,62.8904806540757,0,3.38480045571509e-08,16.3887859366113,"sa_c4229s3580_a_at|1122071 // gi|1122071|ref|NC_002758.2|NC_002758.2(GI:57634611):2181526-2182898(+) Staphylococcus aureus subsp. aureus Mu50, GENE=leuC PRODUCT=isopropylmalate isomerase large subunit LOCUS=SAV2059 // ncbi_bacterial // 20 // --- /// 1124758 // gi|1124758|ref|NC_002745.2|NC_002745.2(GI:29165615):2105093-2106465(+) Staphylococcus aureus subsp. aureus N315, GENE=leuC PRODUCT=isopropylmalate isomerase large subunit LOCUS=SA1864 // ncbi_bacterial // 20 // --- /// 3238073 // gi|3238073|ref|NC_002951.2|NC_002951.2(GI:57650036):2108570-2109942(+) Staphylococcus aureus subsp. aureus COL, GENE=leuC PRODUCT=isopropylmalate isomerase large subunit LOCUS=SACOL2048 // ncbi_bacterial // 20 // ---",105.568333646974
"7","sa_c4209s3561_a_at",6.85511662449099,6.41969004395128,60.5887052198842,0,3.81399933229549e-08,16.1859672772143,"sa_c4209s3561_a_at|1122065 // gi|1122065|ref|NC_002758.2|NC_002758.2(GI:57634611):2174024-2175714(+) Staphylococcus aureus subsp. aureus Mu50, GENE=ilvD PRODUCT=dihydroxy-acid dehydratase LOCUS=SAV2053 // ncbi_bacterial // 20 // --- /// 1124752 // gi|1124752|ref|NC_002745.2|NC_002745.2(GI:29165615):2097591-2099281(+) Staphylococcus aureus subsp. aureus N315, GENE=ilvD PRODUCT=dihydroxy-acid dehydratase LOCUS=SA1858 // ncbi_bacterial // 20 // --- /// 3236694 // gi|3236694|ref|NC_002951.2|NC_002951.2(GI:57650036):2101068-2102758(+) Staphylococcus aureus subsp. aureus COL, GENE=ilvD PRODUCT=dihydroxy-acid dehydratase LOCUS=SACOL2042 // ncbi_bacterial // 20 // ---",115.76991855096
"8","sa_c3202s2750_a_at",5.65156524513342,5.54556821362789,58.6194207551365,0,4.25254395043711e-08,16.0019265387934,"sa_c3202s2750_a_at|1121698 // gi|1121698|ref|NC_002758.2|NC_002758.2(GI:57634611):1842555-1843714(+) Staphylococcus aureus subsp. aureus Mu50,  PRODUCT=similar to transaminase LOCUS=SAV1723 // ncbi_bacterial // 20 // --- /// 1124390 // gi|1124390|ref|NC_002745.2|NC_002745.2(GI:29165615):1764641-1765800(+) Staphylococcus aureus subsp. aureus N315,  PRODUCT=hypothetical protein LOCUS=SA1544 // ncbi_bacterial // 20 // --- /// 3236383 // gi|3236383|ref|NC_002951.2|NC_002951.2(GI:57650036):1810736-1811898(+) Staphylococcus aureus subsp. aureus COL,  PRODUCT=aminotransferase, class V LOCUS=SACOL1772 // ncbi_bacterial // 20 // ---",50.2678905999558
"9","sa_i11098dr_x_at",-6.58316302329871,3.23107543216472,-55.9924464711137,0,5.29092658409739e-08,15.7400311774673,"sa_i11098dr_x_at|1121232 // gi|1121232|ref|NC_002758.2|NC_002758.2(GI:57634611):1320407-1321182(+) Staphylococcus aureus subsp. aureus Mu50, GENE=codY PRODUCT=transcriptional repressor CodY LOCUS=SAV1255 // ncbi_bacterial // 24 // --- /// 1123929 // gi|1123929|ref|NC_002745.2|NC_002745.2(GI:29165615):1244078-1244853(+) Staphylococcus aureus subsp. aureus N315, GENE=codY PRODUCT=transcriptional repressor CodY LOCUS=SA1098 // ncbi_bacterial // 24 // --- /// 3238033 // gi|3238033|ref|NC_002951.2|NC_002951.2(GI:57650036):1283470-1284245(+) Staphylococcus aureus subsp. aureus COL, GENE=codY PRODUCT=transcriptional repressor CodY LOCUS=SACOL1272 // ncbi_bacterial // 22 // ---",0.010429667509452
"10","sa_c9931s8627_a_at",7.54499332823677,5.83510378957632,53.3367869101532,0,5.6864982532634e-08,15.4544720620177,"sa_c9931s8627_a_at|1122068 // gi|1122068|ref|NC_002758.2|NC_002758.2(GI:57634611):2177900-2178906(+) Staphylococcus aureus subsp. aureus Mu50, GENE=ilvC PRODUCT=ketol-acid reductoisomerase LOCUS=SAV2056 // ncbi_bacterial // 20 // --- /// 1124755 // gi|1124755|ref|NC_002745.2|NC_002745.2(GI:29165615):2101467-2102473(+) Staphylococcus aureus subsp. aureus N315, GENE=ilvC PRODUCT=ketol-acid reductoisomerase LOCUS=SA1861 // ncbi_bacterial // 20 // --- /// 3238699 // gi|3238699|ref|NC_002951.2|NC_002951.2(GI:57650036):2104944-2105950(+) Staphylococcus aureus subsp. aureus COL, GENE=ilvC PRODUCT=ketol-acid reductoisomerase LOCUS=SACOL2045 // ncbi_bacterial // 20 // ---",186.753740415482
