"","name","description"
"1","chromosome_name","Chromosome name"
"2","start","Gene Start (bp)"
"3","end","Gene End (bp)"
"4","strand","Strand"
"5","chromosomal_region","Chromosome Regions (e.g 1:100:10000:-1,1:100000:200000:1)"
"6","with_tra_tsl","with Transcript Support Level (TSL)"
"7","with_tra_appris_pi","with APPRIS principal isoform annotation"
"8","with_tra_gencode_basic","with GENCODE basic annotation"
"9","with_ec_number","with EC number(s)"
"10","with_embl","with EMBL ID(s)"
"11","with_entrezgene","with EntrezGene ID(s)"
"12","with_go_go","with GO ID(s)"
"13","with_go_id","with GO Term Accession(s)"
"14","with_goslim_goa","with GOSlim GOA(s)"
"15","with_merops","with MEROPS ID(s)"
"16","with_pdb","with PDB ID(s)"
"17","with_protein_id","with protein(Genbank) ID(s)"
"18","with_refseq_dna","with RefSeq DNA ID(s)"
"19","with_refseq_mrna","with RefSeq mRNA ID(s)"
"20","with_refseq_peptide","with RefSeq protein ID(s)"
"21","with_sgd_gene","with SGD gene ID(s)"
"22","with_sgd_transcript","with SGD transcript ID(s)"
"23","with_uniparc","with UniParc ID(s)"
"24","with_ox_uniprotswissprot","with UniProtSWISSPROT ID(s)"
"25","with_uniprotsptrembl","with UniProtKB/TrEMBL Accession(s)"
"26","with_ox_uniprotsptrembl","with UniProtSPTREMBL ID(s)"
"27","with_wikigene","with WikiGene ID(s)"
"28","with_affy_yeast_2","with Affymetrix Microarray yeast 2 probeset ID(s)"
"29","with_affy_yg_s98","with Affymetrix Microarray yg s98 probeset ID(s)"
"30","ensembl_gene_id","Ensembl Gene ID(s) [e.g. ENSG00000139618]"
"31","ensembl_transcript_id","Ensembl Transcript ID(s) [e.g. ENST00000380152]"
"32","ensembl_peptide_id","Ensembl protein ID(s) [e.g. ENSP00000369497]"
"33","ensembl_exon_id","Ensembl exon ID(s) [e.g. ENSE00001508081]"
"34","external_gene_name","Associated Gene Name(s) [e.g. BRCA2]"
"35","ec_number","EC number(s) [e.g. 2.7.11.22]"
"36","embl","EMBL ID(s) [e.g. D87018]"
"37","entrezgene","EntrezGene ID(s) [e.g. 115286]"
"38","go_id","GO Term Accession(s) [e.g. GO:0005515]"
"39","goslim_goa_accession","GOSlim GOA Accessions(s) [e.g. GO:0005623]"
"40","merops","MEROPS ID(s) [e.g. C19.028]"
"41","pdb","PDB ID(s) [e.g. 1J47]"
"42","protein_id","Protein (Genbank) ID(s) [e.g. BAA20017]"
"43","refseq_dna","Refseq DNA ID(s) [e.g. NM_203373]"
"44","refseq_mrna","Refseq mRNA ID(s) [e.g. NM_001195597]"
"45","refseq_peptide","Refseq protein ID(s) [e.g. NP_001005353]"
"46","sgd_gene","SGD Gene ID(s) [e.g. S000006365]"
"47","sgd_transcript","SGD Transcript ID(s) [e.g. S000006365]"
"48","uniprot_sptrembl","UniProt/TrEMBL Accession(s) [e.g. A2MYD1]"
"49","uniprot_swissprot","UniProt/Swissprot ID(s) [e.g. Q9H3N8]"
"50","uniprot_swissprot_accession","UniProt/Swissprot Accession(s) [e.g. Q13068]"
"51","uniparc","UniParc ID(s) [e.g. UPI0000000AA1]"
"52","wikigene_id","WikiGene ID(s) [e.g. 115286]"
"53","wikigene_name","WikiGene Name(s) [e.g. SLC25A26]"
"54","affy_yeast_2","Affy yeast 2 probeset ID(s) [e.g. 1769803_s_at]"
"55","affy_yg_s98","Affy yg s98 probeset ID(s) [e.g. 4483_s_at]"
"56","transcript_count","Transcript count >="
"57","biotype","Type"
"58","transcript_biotype","Transcript Type"
"59","source","Source (gene)"
"60","transcript_source","Source (transcript)"
"61","status","Status (gene)"
"62","transcript_status","Status (transcript)"
"63","go_evidence_code","GO Evidence code"
"64","go_parent_term","Parent term accession"
"65","go_parent_name","Parent term name"
"66","with_paralog_scer","Paralogous Yeast Genes"
"67","with_homolog_vpac","Orthologous Alpaca Genes"
"68","with_homolog_pfor","Orthologous Amazon molly Genes"
"69","with_homolog_acar","Orthologous Anole Lizard Genes"
"70","with_homolog_dnov","Orthologous Armadillo Genes"
"71","with_homolog_gmor","Orthologous Atlantic Cod Genes"
"72","with_homolog_ogar","Orthologous Bushbaby Genes"
"73","with_homolog_cele","Orthologous Caenorhabditis elegans Genes"
"74","with_homolog_fcat","Orthologous Cat Genes"
"75","with_homolog_amex","Orthologous Cave fish Genes"
"76","with_homolog_ggal","Orthologous Chicken Genes"
"77","with_homolog_ptro","Orthologous Chimpanzee Genes"
"78","with_homolog_psin","Orthologous Chinese softshell turtle Genes"
"79","with_homolog_cint","Orthologous Ciona intestinalis genes"
"80","with_homolog_csav","Orthologous Ciona savignyi Genes"
"81","with_homolog_lcha","Orthologous Coelacanth Genes"
"82","with_homolog_sara","Orthologous Common Shrew Genes"
