GO ID,%,k,f,p-value,List of Genes
GO:0006096,14,9,28,2.56E-11,CDC19 GLK1 PGK1 TPI1 HXK1 TDH3 ENO2 TDH1 GPM1
GO:0006412,30,19,318,6.78E-09,TEF2 RPS14A RPS29B RPL41B RPL35B RPL41A RPL35A RPL29 RPL28 RPS27B RPL39 RPL15A RPS30A RPL38 RPS15 RPS28A RPS30B RPS12 TEF1
GO:0006094,9,6,18,5.03E-08,PGK1 TPI1 TDH3 ENO2 TDH1 GPM1
GO:0006013,5,3,4,7.32E-06,GLK1 HXK1 AMS1
GO:0006006,8,5,23,7.38E-06,GLK1 HXK1 TDH3 TDH1 PGM2
GO:0046323,3,2,3,0.0004534,GLK1 HXK1
GO:0006950,13,8,152,0.0005527,HSP26 HSP12 WSC4 XBP1 HOR7 MDJ2 DDR2 ZEO1
GO:0008152,22,14,425,0.0006536,CDC19 BDH2 TPI1 GSY1 HXK1 PMA1 PNC1 AMS1 TDH3 TDH1 BNA1 GPM1 PDC1 ALD6
GO:0051156,3,2,4,0.0008995,GLK1 PGM2
GO:0000752,3,2,4,0.0008995,AGA2 CCW12
GO:0005975,9,6,94,0.00104,GLK1 HXK1 AMS1 SOL4 PGM2 GPH1
GO:0006885,3,2,5,0.001487,PMA1 CWP2
GO:0007155,3,2,7,0.003073,HSP12 AGA2
GO:0006090,3,2,8,0.004064,CDC19 PDC1
GO:0019363,3,2,9,0.005183,PNC1 BNA1
GO:0055114,14,9,272,0.006288,COX2 BDH2 TDH3 COX5B TDH1 BNA1 AHP1 ADH1 ALD6
GO:0006184,5,3,33,0.007702,TEF2 GSP2 TEF1
GO:0005978,3,2,12,0.009276,GSY1 PGM2
GO:0006123,3,2,12,0.009276,COX2 COX5B
GO:0006096],8,9,28,2.54E-09,GLK1 PGK1 GPM2 HXK1 TDH3 ENO1 ENO2 TDH1 GPM1
GO:0006094],5,6,18,1.04E-06,PGK1 TDH3 ENO1 ENO2 TDH1 GPM1
GO:0055114],16,19,272,2.51E-06,COX2 BDH2 LEU2 NDE2 CTT1 TDH3 GND2 TDH1 YJR096W SOD1 GPX1 SRX1 YKL107W MCR1 AHP1 CYB2 ALD3 ADH1 GCY1
GO:0005992],3,4,7,5.75E-06,TPS1 TPS2 UGP1 PGM2
GO:0034599],8,9,67,7.95E-06,GRX1 HSP12 TRX2 YJR096W GPX1 SRX1 MCR1 AHP1 GCY1
GO:0010466],3,3,4,3.37E-05,TFS1 PAI3 PBI2
GO:0042631],3,3,4,3.37E-05,CTT1 YJL144W SIP18
GO:0006013],3,3,4,3.37E-05,GLK1 HXK1 AMS1
GO:0006950],10,12,152,6.23E-05,HSP26 TPS1 FMP45 TPS2 HSP12 CTT1 XBP1 DDR48 HOR7 DDR2 TIR2 GRE1
GO:0006006],4,5,23,8.60E-05,GLK1 HXK1 TDH3 TDH1 PGM2
GO:0022904],3,3,7,0.0002816,BI3 BI4 COX2
GO:0007009],2,2,2,0.0004212,HSP12 NCE102
GO:0030162],2,2,2,0.0004212,TFS1 PBI2
GO:0006314],3,3,9,0.0006556,BI3 BI4 SCEI
GO:0006011],2,2,3,0.001246,UGP1 PGM2
GO:0046323],2,2,3,0.001246,GLK1 HXK1
GO:0005978],3,3,12,0.001641,UGP1 PGM2 GAC1
GO:0042843],2,2,4,0.002459,YJR096W GCY1
GO:0019568],2,2,4,0.002459,YJR096W GCY1
GO:0006469],2,2,4,0.002459,PIL1 LSP1
GO:0051156],2,2,4,0.002459,GLK1 PGM2
GO:0006098],3,3,14,0.002634,TKL2 SOL4 GND2
GO:0009051],2,2,5,0.004043,SOL4 GND2
GO:0019655],2,2,5,0.004043,NDE2 PDC1
GO:0009408],3,3,17,0.004704,PIL1 GAC1 LSP1
GO:0030437],4,5,57,0.006112,FMP45 CPR1 SHC1 YNL194C AQY1
GO:0070941],2,2,7,0.008264,PIL1 NCE102
