Gene,WT_a,WT_b,null_a,null_b,R61K_a,R61K_b,R61H_a,R61H_b,F71Y_a,F71Y_b,Start,End,Strand,Reference,Locus,Product,Note
dnaA,6293,8602,4339,6691,4614,8632,4093,8830,7656,9657,410,1750,+,chr,BSU00010,chromosome replication initiator DnaA,binds to the dnaA-box as an ATP-bound complex at the origin of replication during the initiation of chromosomal replication; can also affect transcription of multiple genes including itself.
dnaN,4009,6370,2647,4488,3001,6044,2586,5885,5441,6468,1939,3075,+,chr,BSU00020,DNA polymerase III subunit beta,binds the polymerase to DNA and acts as a sliding clamp
yaaA,858,1413,624,1122,684,1220,648,1452,1170,1276,3206,3421,+,chr,BSU00030,RNA binding protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
recF,5350,8466,4354,7175,4106,8349,4329,8047,7283,7729,3437,4549,+,chr,BSU00040,recombination protein F,"Required for DNA replication; binds preferentially to single-stranded, linear DNA"
yaaB,666,1033,448,884,446,1030,453,980,829,1157,4567,4812,+,chr,BSU00050,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
gyrB,11259,12059,8609,9902,8496,11568,8281,12140,10827,11676,4867,6783,+,chr,BSU00060,DNA gyrase subunit B,negatively supercoils closed circular double-stranded DNA
gyrA,17310,23015,12178,17565,13137,21115,12250,22520,20942,22888,6994,9459,+,chr,BSU00070,DNA gyrase subunit A,negatively supercoils closed circular double-stranded DNA
yaaC,672,607,186,139,398,477,330,291,286,711,14847,15794,-,chr,BSU00080,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
guaB,30329,36723,7284,9006,13741,24332,9558,15544,24697,27243,15915,17381,+,chr,BSU00090,inosine 5'-monophosphate dehydrogenase,catalyzes the synthesis of xanthosine monophosphate by the NAD+ dependent oxidation of inosine monophosphate
dacA,12804,27587,9698,19730,10678,22915,8901,23884,21708,24716,17534,18865,+,chr,BSU00100,D-alanyl-D-alanine carboxypeptidase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 8370539, 9864321; Product type e: enzyme"
yaaD,8801,9211,9759,11652,9359,13255,8775,13358,11901,11866,19062,19946,+,chr,BSU00110,pyridoxal biosynthesis lyase PdxS,"with PdxT forms pyridoxal 5'-phosphate from glutamine, either ribose 5-phosphate or ribulose 5-phosphate, and either glyceraldehyde 3-phosphate or dihydroxyacetone phosphate"
yaaE,5840,7623,6013,9272,5697,10188,5398,10233,8523,9876,19968,20558,+,chr,BSU00120,glutamine amidotransferase subunit PdxT,with PdxST is involved in the biosynthesis of pyridoxal 5'-phosphate; PdxT catalyzes the hydrolysis of glutamine to glutamate and ammonia; PdxS utilizes the ammonia to synthesize pyridoxal 5'-phosphate
serS,4921,7226,3757,5740,3613,6626,3317,7080,6351,6619,20880,22157,+,chr,BSU00130,seryl-tRNA synthetase,"catalyzes a two-step reaction, first charging a serine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA"
dck,1084,1997,867,1487,1155,1872,843,1826,1776,1869,22496,23149,-,chr,BSU00140,deoxyadenosine/deoxycytidine kinase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11078735, 6251049; Product type e: enzyme"
dgk,1191,1792,856,1225,1074,1654,824,1436,1345,1530,23146,23769,-,chr,BSU00150,deoxyguanosine kinase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11078735; Product type e: enzyme
yaaH,130,91,230,123,470,179,166,111,98,111,23868,25151,-,chr,BSU00160,spore peptidoglycan hydrolase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11011148, 11737650, 12177332, 10419957; Product type e: enzyme"
yaaI,221,216,223,229,300,288,224,245,183,255,25221,25766,-,chr,BSU00170,isochorismatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 2521622; Product type pe :  enzyme"
tadA,338,536,347,532,335,601,341,571,552,515,25852,26337,+,chr,BSU00180,tRNA specific adenosine deaminase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16014871, 16700551; Product type e: enzyme"
dnaX,4876,7743,3489,6130,3659,7728,3223,7768,6797,8624,26814,28505,+,chr,BSU00190,DNA polymerase III subunits gamma and tau,"catalyzes the DNA-template-directed extension of the 3'-end of a DNA strand the tau chain serves as a scaffold to help in the dimerizaton of the alpha,epsilon and theta core complex; the gamma chain seems to interact with the delta and delta' subunits to transfer the beta subunit on the DNA"
yaaK,1868,4109,1430,3178,1344,3921,1291,4359,4081,4831,28529,28852,+,chr,BSU00200,hypothetical protein,Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16740939; Product type f: factor
recR,1955,3395,1317,2184,1464,3044,1215,3001,2774,3309,28867,29463,+,chr,BSU00210,recombination protein RecR,"involved in a recombinational process of DNA repair, independent of the recBC complex"
yaaL,361,899,223,624,245,918,223,811,750,997,29481,29705,+,chr,BSU00220,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
bofA,61,61,47,57,49,80,43,37,56,73,29772,30035,+,chr,BSU00230,inhibitor of the pro-sigma(K) processing machinery,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15087499; Product type r: regulator
csfB,72,129,40,54,76,179,46,146,128,161,35531,35725,+,chr,BSU00240,forespore-specific protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15044948, 8759874; Product type cp: cell process"
xpaC,773,1268,560,901,595,1221,556,1171,1061,1248,35845,36459,+,chr,BSU00250,phosphatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yaaN,1487,2782,1182,2063,1357,2721,1127,2420,1986,2548,36478,37638,+,chr,BSU00260,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 12533473
yaaO,2600,3445,1892,2349,2093,3326,1937,3021,2609,3284,37720,39162,+,chr,BSU00270,lysine decarboxylase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 9723923; Product type pe :  enzyme"
tmk,1196,2365,797,1719,989,2166,835,2074,1818,2334,39159,39797,+,chr,BSU00280,thymidylate kinase,catalyzes the reversible phosphoryl transfer from adenosine triphosphate (ATP) to thymidine monophosphate (dTMP) to form thymidine diphosphate (dTDP)
yaaQ,844,1278,669,1010,731,1228,634,1154,985,1200,39871,40200,+,chr,BSU00290,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 10913081
yaaR,1105,2426,804,1861,813,2308,721,2208,1782,2345,40213,40653,+,chr,BSU00300,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
holB,3182,5177,2721,4268,2583,4890,2463,5102,4362,5394,40665,41654,+,chr,BSU00310,DNA polymerase III subunit delta',catalyzes the DNA-template-directed extension of the 3'-end of a DNA strand; the delta' subunit seems to interact with the gamma subunit to transfer the beta subunit on the DNA
yaaT,4461,6344,4343,5489,3559,5810,3459,6740,5263,6347,41657,42484,+,chr,BSU00320,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 12270811
yabA,1189,1968,1109,1600,931,1950,952,2032,1721,2033,42499,42858,+,chr,BSU00330,DNA replication intiation control protein YabA,in Bacillus subtilis this protein is involved in the negative regulation of DNA replication initiation; interacts with DnaN and DnaA
yabB,1032,1501,940,1282,853,1437,776,1518,1191,1519,42917,43660,+,chr,BSU00340,methyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yazA,382,823,309,672,305,782,277,817,625,985,43647,43946,+,chr,BSU00350,GIY-YIG nuclease superfamily protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 11483577; Product type pe :  enzyme"
yabC,1185,1414,960,1326,882,1428,861,1590,1218,1681,43921,44799,+,chr,BSU00360,methyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16014871; Product type pe :  enzyme"
abrB,2675,4281,2539,3501,2261,4826,1938,4914,4449,4429,44848,45138,-,chr,BSU00370,transcriptional regulator for transition state genes,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16159768, 16223496, 16702211, 10754235, 10809710, 11101881, 11101897; Product type r: regulator"
metS,6819,10319,5906,9087,5440,10307,5530,11136,9346,10387,45633,47627,+,chr,BSU00380,methionyl-tRNA synthetase,methionine--tRNA ligase; MetRS; adds methionine to tRNA(Met) with cleavage of ATP to AMP and diphosphate; some MetRS enzymes form dimers depending on a C-terminal domain that is also found in other proteins such as Trbp111 in Aquifex aeolicus and the cold-shock protein CsaA from Bacillus subtilis while others do not; four subfamilies exist based on sequence motifs and zinc content
