Gene log2FoldChange pvalue padj
DOK6 0.51 1.861e-08 0.0003053
TBX5 -2.129 5.655e-08 0.0004191
SLC32A1 0.9003 7.664e-08 0.0004191
IFITM1 -1.687 3.735e-06 0.006809
NUP93 0.3659 3.373e-06 0.006809
EMILIN2 1.534 2.976e-06 0.006809
TPX2 -0.9974 2.097e-06 0.006809
LAMA2 -1.425 2.39e-06 0.006809
CAV2 -1.052 3.213e-06 0.006809
TNN -1.658 8.973e-06 0.01472
POU3F4 1.181 1.062e-05 0.01584
COL13A1 -1.647 1.394e-05 0.01592
IFITM3 -1.61 1.202e-05 0.01592
SHISA3 -1.477 1.31e-05 0.01592
LOC285954 1.05 1.456e-05 0.01592
VEPH1 1.137 2.211e-05 0.02267
ARHGAP29 -1.526 3.675e-05 0.03547
KIAA1755 -1.562 3.972e-05 0.0362
LAMC3 -1.563 4.29e-05 0.03704
ITM2A -1.398 4.972e-05 0.04078
DTHD1 1.54 5.594e-05 0.04371
RBMS1 -0.9139 6.688e-05 0.04988
CEBPD -1.202 7.859e-05 0.05606
DMBX1 -1.425 9.529e-05 0.06486
PAPLN -1.253 9.883e-05 0.06486
ADM -1.357 0.0001089 0.06872
COL2A1 -1.187 0.0001424 0.07794
HS3ST3A1 -1.004 0.0001388 0.07794
DYSF -1.03 0.0001425 0.07794
PI16 1.495 0.0001297 0.07794
CDC42EP5 -1.355 0.0001581 0.08146
SLC12A8 -0.9425 0.0001589 0.08146
ZNF391 -1.024 0.0001913 0.09512
GALNTL2 1.075 0.0002298 0.1109
C4orf45 1.288 0.0002472 0.1159
KIF18B -0.8849 0.0002551 0.1162
KIF20A -0.9505 0.0002972 0.1318
PDE1B 1.053 0.0003356 0.1449
BCAN 1.117 0.0003698 0.1477
APLNR -1.365 0.000378 0.1477
CILP -1.11 0.0003582 0.1477
TEC -1.373 0.0003701 0.1477
KLF5 -0.8177 0.0004159 0.1578
ACSS2 -0.5578 0.0004232 0.1578
RAPGEF2 0.3371 0.0004513 0.1645
C1orf51 -0.6451 0.0005237 0.1665
