"","ps","well","rep_group","Cq","Cq_mean","Cq_StDev","Cq_StErrMean"
"1","ilvD","A2","A",21.6591621684977,23.2468832248727,2.961884603863,0.209436868848356
"2","ilvD","A3","A",21.4245201181172,23.2468832248727,2.961884603863,0.209436868848356
"3","ilvD","A9","A",29.1361998909949,23.2468832248727,2.961884603863,0.209436868848356
"4","ilvD","A11","A",22.1577161031641,23.2468832248727,2.961884603863,0.209436868848356
"5","ilvD","A12","A",21.8568178435895,23.2468832248727,2.961884603863,0.209436868848356
"6","ilvD","B2","B",18.066576474957,19.3414294989196,2.28311495828647,0.127630006179378
"7","ilvD","B3","B",17.8299152802875,19.3414294989196,2.28311495828647,0.127630006179378
"8","ilvD","B6","B",20.7406372353265,19.3414294989196,2.28311495828647,0.127630006179378
"9","ilvD","B8","B",24.7318192873635,19.3414294989196,2.28311495828647,0.127630006179378
"10","ilvD","B9","B",19.7019261020383,19.3414294989196,2.28311495828647,0.127630006179378
"11","ilvD","B10","B",17.7788479936087,19.3414294989196,2.28311495828647,0.127630006179378
"12","ilvD","B11","B",18.2163197334797,19.3414294989196,2.28311495828647,0.127630006179378
"13","ilvD","B12","B",17.6653938842953,19.3414294989196,2.28311495828647,0.127630006179378
"14","ilvD","C1","C",24.290703011727,17.6674512022364,5.71820795324541,0.28591039766227
"15","ilvD","C2","C",13.1657037117008,17.6674512022364,5.71820795324541,0.28591039766227
"16","ilvD","C3","C",13.300195350358,17.6674512022364,5.71820795324541,0.28591039766227
"17","ilvD","C6","C",15.05364037423,17.6674512022364,5.71820795324541,0.28591039766227
"18","ilvD","C7","C",26.5591852520091,17.6674512022364,5.71820795324541,0.28591039766227
"19","ilvD","C8","C",27.7739587124713,17.6674512022364,5.71820795324541,0.28591039766227
"20","ilvD","C9","C",15.0345646548023,17.6674512022364,5.71820795324541,0.28591039766227
"21","ilvD","C10","C",15.4361434564502,17.6674512022364,5.71820795324541,0.28591039766227
"22","ilvD","C11","C",13.0212851579863,17.6674512022364,5.71820795324541,0.28591039766227
"23","ilvD","C12","C",13.0391323406288,17.6674512022364,5.71820795324541,0.28591039766227
"24","ilvD","D9","D",37.3161318138638,36.1089316632726,0.924242747776517,0.084371433594626
"25","ilvD","D11","D",35.9268289477853,36.1089316632726,0.924242747776517,0.084371433594626
"26","ilvD","D12","D",35.0838342281686,36.1089316632726,0.924242747776517,0.084371433594626
