"","ps","condition","name","bio_Cq_mean","bio_Cq_StDev","bio_Cq_StErrMean"
"1","ilvD","Unkn","0.5",21.8295086611149,0,0
"2","icaA","Unkn","0.5",21.2770744208855,0,0
"3","cap5A","Unkn","0.5",24.0860570017185,0,0
"4","brnQ","Unkn","0.5",22.4022610315056,0,0
"5","ilvD","Unkn","5.0",18.138552763072,0,0
"6","icaA","Unkn","5.0",18.4944547079467,0,0
"7","cap5A","Unkn","5.0",18.060395749576,0,0
"8","brnQ","Unkn","5.0",18.1315726967306,0,0
"9","ilvD","Unkn","DNA",15.599831546223,0,0
"10","icaA","Unkn","DNA",14.1419733203417,0,0
"11","cap5A","Unkn","DNA",14.2259080755465,0,0
"12","brnQ","Unkn","DNA",14.06420643553,0,0
