Well,Fluor,Target,Content,Sample,Cq
A01,SYBR,aur,Unkn,400_1,22.13899961
A02,SYBR,aur,Unkn,400_1,20.07524623
A03,SYBR,aur,Unkn,400_1,21.9572796
A04,SYBR,hla,Unkn,400_1,24.49885116
A05,SYBR,hla,Unkn,400_1,23.76644786
A06,SYBR,hla,Unkn,400_1,22.62069724
A07,SYBR,lukE,Unkn,400_1,23.00028962
A08,SYBR,lukE,Unkn,400_1,23.52037188
A09,SYBR,lukE,Unkn,400_1,22.87622432
A10,SYBR,rpoc,Unkn,400_1,25.11196585
A11,SYBR,rpoc,Unkn,400_1,24.46403823
A12,SYBR,rpoc,Unkn,400_1,24.04311962
B01,SYBR,aur,Unkn,800_1,17.88075344
B02,SYBR,aur,Unkn,800_1,19.08885727
B03,SYBR,aur,Unkn,800_1,18.54333896
B04,SYBR,hla,Unkn,800_1,20.73270176
B05,SYBR,hla,Unkn,800_1,22.45889615
B06,SYBR,hla,Unkn,800_1,21.0455697
B07,SYBR,lukE,Unkn,800_1,20.87017135
B08,SYBR,lukE,Unkn,800_1,20.62151769
B09,SYBR,lukE,Unkn,800_1,20.27990412
B10,SYBR,rpoc,Unkn,800_1,21.06435688
B11,SYBR,rpoc,Unkn,800_1,21.45010282
B12,SYBR,rpoc,Unkn,800_1,21.46544846
C01,SYBR,aur,Unkn,1200_1,20.31960665
C02,SYBR,aur,Unkn,1200_1,20.5655962
C03,SYBR,aur,Unkn,1200_1,20.55705088
C04,SYBR,hla,Unkn,1200_1,28.53471002
C05,SYBR,hla,Unkn,1200_1,20.75010203
C07,SYBR,lukE,Unkn,1200_1,21.28103758
C08,SYBR,lukE,Unkn,1200_1,21.29048462
C09,SYBR,lukE,Unkn,1200_1,21.37775897
C10,SYBR,rpoc,Unkn,1200_1,21.49621027
C11,SYBR,rpoc,Unkn,1200_1,21.80749758
C12,SYBR,rpoc,Unkn,1200_1,21.11151365
D01,SYBR,aur,Unkn,1600_1,16.27844785
D02,SYBR,aur,Unkn,1600_1,17.63944067
D03,SYBR,aur,Unkn,1600_1,17.30929317
D04,SYBR,hla,Unkn,1600_1,17.68467499
D05,SYBR,hla,Unkn,1600_1,18.0073738
D06,SYBR,hla,Unkn,1600_1,18.7687699
D07,SYBR,lukE,Unkn,1600_1,17.63073888
D08,SYBR,lukE,Unkn,1600_1,17.50296107
D09,SYBR,lukE,Unkn,1600_1,17.19673777
D10,SYBR,rpoc,Unkn,1600_1,18.60995441
D11,SYBR,rpoc,Unkn,1600_1,18.66764513
D12,SYBR,rpoc,Unkn,1600_1,18.90941566
E01,SYBR,aur,Unkn,400_2,18.81158381
E02,SYBR,aur,Unkn,400_2,18.97770156
E03,SYBR,aur,Unkn,400_2,18.81021207
E04,SYBR,hla,Unkn,400_2,20.34128163
E05,SYBR,hla,Unkn,400_2,20.50847462
E06,SYBR,hla,Unkn,400_2,20.38769059
E07,SYBR,lukE,Unkn,400_2,19.69846641
E08,SYBR,lukE,Unkn,400_2,19.64198569
E09,SYBR,lukE,Unkn,400_2,19.71831023
E10,SYBR,rpoc,Unkn,400_2,20.40110689
E11,SYBR,rpoc,Unkn,400_2,20.08170419
E12,SYBR,rpoc,Unkn,400_2,20.27796521
F01,SYBR,aur,Unkn,800_2,19.064778
F02,SYBR,aur,Unkn,800_2,19.01686114
F03,SYBR,aur,Unkn,800_2,19.01601039
F04,SYBR,hla,Unkn,800_2,20.38152861
F05,SYBR,hla,Unkn,800_2,20.68085887
F06,SYBR,hla,Unkn,800_2,20.3588016
F07,SYBR,lukE,Unkn,800_2,19.89427288
F08,SYBR,lukE,Unkn,800_2,19.93598246
F09,SYBR,lukE,Unkn,800_2,19.80539883
F10,SYBR,rpoc,Unkn,800_2,20.5356745
F11,SYBR,rpoc,Unkn,800_2,20.66382023
F12,SYBR,rpoc,Unkn,800_2,20.67718933
G01,SYBR,aur,Unkn,1200_2,19.2871477
G02,SYBR,aur,Unkn,1200_2,18.97867836
G03,SYBR,aur,Unkn,1200_2,19.15988946
G04,SYBR,hla,Unkn,1200_2,20.69886891
G05,SYBR,hla,Unkn,1200_2,20.65678861
G06,SYBR,hla,Unkn,1200_2,20.49743795
G07,SYBR,lukE,Unkn,1200_2,19.93322545
G08,SYBR,lukE,Unkn,1200_2,19.62525247
G09,SYBR,lukE,Unkn,1200_2,19.57340633
G10,SYBR,rpoc,Unkn,1200_2,20.20197602
G11,SYBR,rpoc,Unkn,1200_2,20.64589515
G12,SYBR,rpoc,Unkn,1200_2,20.28409346
H01,SYBR,aur,Unkn,1600_2,19.42401078
H02,SYBR,aur,Unkn,1600_2,19.30106456
H03,SYBR,aur,Unkn,1600_2,19.47974324
H04,SYBR,hla,Unkn,1600_2,20.92863335
H05,SYBR,hla,Unkn,1600_2,23.48496858
H06,SYBR,hla,Unkn,1600_2,21.3140159
H07,SYBR,lukE,Unkn,1600_2,20.01585206
H08,SYBR,lukE,Unkn,1600_2,20.56336638
H09,SYBR,lukE,Unkn,1600_2,20.20645596
H10,SYBR,rpoc,Unkn,1600_2,20.68984067
