"","ps","rep_group","Cq_mean","Cq_StDev","conc"
"1","rpoC","B",27,16,182
"2","rpoC","C",22,9,1820
"3","rpoC","D",19,4,18200
"4","rpoC","E",15,20,182000
"5","rpoC","F",11,5,1820000
"6","rpoC","G",5,22,18200000
"7","rpoC","H",1,25,1.82e+08
"8","polC","B",26,27,182
"9","polC","C",21,15,1820
"10","polC","D",16,1,18200
"11","polC","E",13,24,182000
"12","polC","F",8,19,1820000
"13","polC","G",4,18,18200000
"14","polC","H",2,14,1.82e+08
"15","srn1020","B",24,13,182
"16","srn1020","C",20,8,1820
"17","srn1020","D",17,6,18200
"18","srn1020","E",12,10,182000
"19","srn1020","F",9,12,1820000
"20","srn1020","G",6,3,18200000
"21","srn1020","H",3,26,1.82e+08
"22","rsaD","B",25,7,182
"23","rsaD","C",23,23,1820
"24","rsaD","D",18,11,18200
"25","rsaD","E",14,17,182000
"26","rsaD","F",10,2,1820000
"27","rsaD","G",7,21,18200000
