"","strain","ps","condition","name","temp","str","Cq_mean","Cq_StDev","transcripts","rpoC_Contrast","polC_Contrast","foldchange"
"1","s1","rpoC","RT","337(37)a",37,"337",17.9727102683598,0.358078020922994,25105.6994473655,1,8.99867391317428,1
"2","s2","rpoC","RT","372(37)a",37,"372",18.2394558946555,0.262654660228383,21753.6270816732,1,7.56373611912553,0.866481618139341
"3","s3","rpoC","RT","337(37)b",37,"337",17.8953952305517,0.506243138222696,26170.5289688362,1,13.3476430979585,1.04241385601318
"4","s4","rpoC","RT","372(37)b",37,"372",18.8658940815953,0.517001271741231,15536.8427044209,1,5.25658467843414,0.61885719364219
"5","s5","rpoC","RT","337(25)",25,"337",18.0509133239309,0.262499423210046,24072.7078793424,1,5.98328134787464,0.958854300387496
"6","s6","rpoC","RT","372(25)",25,"372",18.7269486041532,0.0277944873486031,16741.0764766216,1,6.11163600350084,0.66682374301977
"7","s1","polC","RT","337(37)a",37,"337",20.244658706758,0.0380317968009325,2789.93323789743,0.111127484965977,1,1
"8","s2","polC","RT","372(37)a",37,"372",20.1909097448495,0.136256878729859,2876.04257195956,0.132209794769468,1,1.03086429914969
"9","s3","polC","RT","337(37)b",37,"337",20.8683441387917,0.39773890421058,1960.68540166757,0.0749195938684446,1,0.702771440919925
"10","s4","polC","RT","372(37)b",37,"372",20.1426071558952,0.0938367738417138,2955.69150976735,0.190237589837112,1,1.05941298867597
"11","s5","polC","RT","337(25)",25,"337",19.5973353161088,0.071063495570856,4023.32875218937,0.16713237132919,1,1.44208782401598
"12","s6","polC","RT","372(25)",25,"372",20.2770994880193,0.126133483827637,2739.21360287689,0.163622309873688,1,0.98182048432859
"13","s1","sra1020","RT","337(37)a",37,"337",22.4212271243466,0.0953923719689033,393.987005620096,0.0156931300179904,0.141217359708942,1
"14","s2","sra1020","RT","372(37)a",37,"372",15.8789418679802,0.101366559035771,27914.2011113473,1.28319755627622,9.70576770438007,70.8505628692326
"15","s3","sra1020","RT","337(37)b",37,"337",22.088275387076,0.0419878992053767,489.384338093236,0.0186998260018356,0.249598603466427,1.24213319503519
"16","s4","sra1020","RT","372(37)b",37,"372",16.171011596131,0.131992689165373,23079.1400951561,1.48544595155032,7.80837242956141,58.5784296586935
"17","s5","sra1020","RT","337(25)",25,"337",19.6504645718017,0.141556636745716,2394.04281544593,0.0994504991895962,0.595040316837933,6.07645120599332
"18","s6","sra1020","RT","372(25)",25,"372",15.8871500740043,0.108637368844375,27765.3843880655,1.65851846067599,10.1362611367381,70.4728429922849
"19","s1","rsaD","RT","337(37)a",37,"337",26.881941910921,0.102255388802107,87.1489408155199,0.00347128113272562,0.0312369269743521,1
"20","s2","rsaD","RT","372(37)a",37,"372",20.6959465632997,0.0227072928007748,3699.6072829288,0.170068525540075,1.28635344935388,42.4515461497147
"21","s3","rsaD","RT","337(37)b",37,"337",27.0132092037527,0.0672575145833605,80.4855819851977,0.00307542816887804,0.0410497175715923,0.923540564372119
"22","s4","rsaD","RT","372(37)b",37,"372",20.4972871197253,0.1080527367671,4172.86588353801,0.268578755859493,1.41180697300391,47.8820034356044
"23","s5","rsaD","RT","337(25)",25,"337",24.0242976112865,0.110188969914678,492.349805828646,0.0204526141511129,0.122373744765631,5.64952139660389
"24","s6","rsaD","RT","372(25)",25,"372",22.4921124720682,0.247663796997182,1245.89196951768,0.07442125787177,0.454835639034929,14.2961229116373
