,strain,ps,condition,name,temp,str,Cq_mean,Cq_StDev,transcripts,Transcripts_to_rpoC,Transcripts_to_polC
1,s1,rpoC,RT,337(37)a,37,337,17.97271027,0.358078021,25105.69945,1,8.998673913
2,s2,rpoC,RT,372(37)a,37,372,18.23945589,0.26265466,21753.62708,1,7.563736119
3,s3,rpoC,RT,337(37)b,37,337,17.89539523,0.506243138,26170.52897,1,13.3476431
4,s4,rpoC,RT,372(37)b,37,372,18.86589408,0.517001272,15536.8427,1,5.256584678
5,s5,rpoC,RT,337(25),25,337,18.05091332,0.262499423,24072.70788,1,5.983281348
6,s6,rpoC,RT,372(25),25,372,18.7269486,0.027794487,16741.07648,1,6.111636004
7,s1,polC,RT,337(37)a,37,337,20.24465871,0.038031797,2789.933238,0.111127485,1
8,s2,polC,RT,372(37)a,37,372,20.19090974,0.136256879,2876.042572,0.132209795,1
9,s3,polC,RT,337(37)b,37,337,20.86834414,0.397738904,1960.685402,0.074919594,1
10,s4,polC,RT,372(37)b,37,372,20.14260716,0.093836774,2955.69151,0.19023759,1
11,s5,polC,RT,337(25),25,337,19.59733532,0.071063496,4023.328752,0.167132371,1
12,s6,polC,RT,372(25),25,372,20.27709949,0.126133484,2739.213603,0.16362231,1
13,s1,sra1020,RT,337(37)a,37,337,22.42122712,0.095392372,393.9870056,0.01569313,0.14121736
14,s2,sra1020,RT,372(37)a,37,372,15.87894187,0.101366559,27914.20111,1.283197556,9.705767704
15,s3,sra1020,RT,337(37)b,37,337,22.08827539,0.041987899,489.3843381,0.018699826,0.249598603
16,s4,sra1020,RT,372(37)b,37,372,16.1710116,0.131992689,23079.1401,1.485445952,7.80837243
17,s5,sra1020,RT,337(25),25,337,19.65046457,0.141556637,2394.042815,0.099450499,0.595040317
18,s6,sra1020,RT,372(25),25,372,15.88715007,0.108637369,27765.38439,1.658518461,10.13626114
19,s1,rsaD,RT,337(37)a,37,337,26.88194191,0.102255389,87.14894082,0.003471281,0.031236927
20,s2,rsaD,RT,372(37)a,37,372,20.69594656,0.022707293,3699.607283,0.170068526,1.286353449
21,s3,rsaD,RT,337(37)b,37,337,27.0132092,0.067257515,80.48558199,0.003075428,0.041049718
22,s4,rsaD,RT,372(37)b,37,372,20.49728712,0.108052737,4172.865884,0.268578756,1.411806973
23,s5,rsaD,RT,337(25),25,337,24.02429761,0.11018897,492.3498058,0.020452614,0.122373745
24,s6,rsaD,RT,372(25),25,372,22.49211247,0.247663797,1245.89197,0.074421258,0.454835639
