"","strain","ps","condition","name","temp","str","Cq_mean","Cq_StDev","Cq_StErrMean","transcripts","rpoC_Contrast","polC_Contrast","foldchange"
"1","337(37)a","brnQ","Unkn","337(37)a",37,"337",21.6540971017904,0.0454871151990874,0.00415238651172937,94576.5491998831,1,NA,1
"2","372(37)a","brnQ","Unkn","372(37)a",37,"372",17.8563287476274,0.222806152627559,0.0203393259575088,1408836.82333714,1,NA,14.8962595406144
"3","337(37)b","brnQ","Unkn","337(37)b",37,"337",21.5395225146207,0.131549427720674,0.0120087648315848,102606.279988984,1,NA,1.08490192185095
"4","372(37)b","brnQ","Unkn","372(37)b",37,"372",18.3318953057143,0.169915171442264,0.0155110620435476,1004534.53800986,1,NA,10.6213913122038
"5","337(25)","brnQ","Unkn","337(25)",25,"337",18.7761865772339,0.235841855406432,0.0215293173683291,732368.317491397,1,NA,7.7436565796408
"6","372(25)","brnQ","Unkn","372(25)",25,"372",18.1145221877193,0.113137108355442,0.0103279577228636,1172487.90718693,1,NA,12.3972371280848
"7","337(37)a","ilvD","Unkn","337(37)a",37,"337",NA,NA,NA,NA,NA,NA,NA
"8","372(37)a","ilvD","Unkn","372(37)a",37,"372",NA,NA,NA,NA,NA,NA,NA
"9","337(37)b","ilvD","Unkn","337(37)b",37,"337",NA,NA,NA,NA,NA,NA,NA
"10","372(37)b","ilvD","Unkn","372(37)b",37,"372",NA,NA,NA,NA,NA,NA,NA
"11","337(25)","ilvD","Unkn","337(25)",25,"337",NA,NA,NA,NA,NA,NA,NA
"12","372(25)","ilvD","Unkn","372(25)",25,"372",NA,NA,NA,NA,NA,NA,NA
