"","ps","condition","name","temp","str","bio_Cq_mean","bio_Cq_StDev","bio_Cq_StErrMean","transcripts","Norm1_transcripts","Norm2_transcripts","Norm1_foldchange","Norm2_foldchange"
"1","rpoC","Unkn","337(37)",37,"337",17.9340527494557,0.0546699875217957,0.0386575189040457,841955.93115151,841955.93115151,7014810.15098365,1,1
"2","rpoC","Unkn","372(37)",37,"372",18.5526749881254,0.442958689979342,0.313219093469902,545725.38950337,545725.38950337,2252245.13579339,0.648163840068212,0.321070005790189
"3","rpoC","Unkn","337(25)",25,"337",18.0509133239309,0,0,775739.233284117,775739.233284117,3072525.4695617,0.921353724800263,0.438005505983773
"4","rpoC","Unkn","372(25)",25,"372",18.7269486041532,0,0,482973.623971746,482973.623971746,1903588.85258984,0.573632901797131,0.271367123502682
"5","polC","Unkn","337(37)",37,"337",20.5565014227748,0.441012198318336,0.311842716016882,101056.161855186,12129.3139831375,101056.161855186,1,1
"6","polC","Unkn","372(37)",37,"372",20.1667584503723,0.0341550881984721,0.0241512944771642,132230.810943096,32039.9008347053,132230.810943096,2.64152621320942,1.30848835455065
"7","polC","Unkn","337(25)",25,"337",19.5973353161087,0,0,195855.612595483,49448.8603119324,195855.612595483,4.07680602387551,1.93808679253171
"8","polC","Unkn","372(25)",25,"372",20.2770994880193,0,0,122538.814584381,31090.230054931,122538.814584381,2.56323070687703,1.21258132443205
"9","srn1020","Unkn","337(37)",37,"337",22.2547512557113,0.235432431231874,0.166475868635294,31726.9354729043,1195.54764953689,9960.78236124078,1,1
"10","srn1020","Unkn","372(37)",37,"372",16.0249767320556,0.206524485354721,0.146034864075385,3096527.96644427,17570165.5656838,72513246.9398357,14696.3323230904,7279.87464338122
"11","srn1020","Unkn","337(25)",25,"337",19.6504645718017,0,0,215324.705785194,59768.4465760404,236729.130746134,49.9925256841017,23.7661181783562
"12","srn1020","Unkn","372(25)",25,"372",15.8871500740043,0,0,3426803.88480627,24313925.8172208,95830736.6098849,20337.0612845411,9620.80418329185
"13","rsaD","Unkn","337(37)",37,"337",26.9475755573369,0.0928199929093013,0.0656336464158542,1415.54346739722,2.37989095860453,19.828215037123,1,1
"14","rsaD","Unkn","372(37)",37,"372",20.5966168415125,0.140473439698217,0.0993297217872087,123596.47977352,27992.2651689485,115525.948176934,11761.9948375123,5826.34130004353
"15","rsaD","Unkn","337(25)",25,"337",24.0242976112865,0,0,11075.995596523,158.142934107945,626.367949472932,66.4496554080248,31.5897294991116
"16","rsaD","Unkn","372(25)",25,"372",22.4921124720682,0,0,32559.221997397,2194.94996094818,8651.1603745423,922.290138131038,436.305555409064
