"","ps","condition","name","temp","str","bio_Cq_mean","bio_Cq_StDev","bio_Cq_StErrMean","transcripts","transcript_error","Norm1_transcripts","Norm1_foldchange"
"1","rpoC","Unkn","337(37)",37,"337",17.9340527494557,0.0546699875217957,0.0386575189040457,841955.93115151,32547.9273248629,841955.93115151,1
"2","rpoC","Unkn","372(37)",37,"372",18.5526749881254,0.442958689979342,0.313219093469902,545725.38950337,170931.611783755,545725.38950337,0.648163840068212
"3","rpoC","Unkn","337(25)",25,"337",18.0509133239309,0,0,775739.233284117,0,775739.233284117,0.921353724800263
"4","rpoC","Unkn","372(25)",25,"372",18.7269486041532,0,0,482973.623971746,0,482973.623971746,0.573632901797131
"5","polC","Unkn","337(37)",37,"337",20.5565014227748,0.441012198318336,0.311842716016882,101056.161855186,31513.6279831628,12129.3139831375,1
"6","polC","Unkn","372(37)",37,"372",20.1667584503723,0.0341550881984721,0.0241512944771642,132230.810943096,3193.54525404095,32039.9008347053,2.64152621320942
"7","polC","Unkn","337(25)",25,"337",19.5973353161087,0,0,195855.612595483,0,49448.8603119324,4.07680602387551
"8","polC","Unkn","372(25)",25,"372",20.2770994880193,0,0,122538.814584381,0,31090.230054931,2.56323070687703
"9","srn1020","Unkn","337(37)",37,"337",22.2547512557113,0.235432431231874,0.166475868635294,31726.9354729043,5281.76914198765,1195.54764953689,1
"10","srn1020","Unkn","372(37)",37,"372",16.0249767320556,0.206524485354721,0.146034864075385,3096527.96644427,452201.040685316,17570165.5656838,14696.3323230904
"11","srn1020","Unkn","337(25)",25,"337",19.6504645718017,0,0,215324.705785194,0,59768.4465760404,49.9925256841017
"12","srn1020","Unkn","372(25)",25,"372",15.8871500740043,0,0,3426803.88480627,0,24313925.8172208,20337.0612845411
"13","rsaD","Unkn","337(37)",37,"337",26.9475755573369,0.0928199929093013,0.0656336464158542,1415.54346739722,92.9072794254212,2.37989095860453,1
"14","rsaD","Unkn","372(37)",37,"372",20.5966168415125,0.140473439698217,0.0993297217872087,123596.47977352,12276.8039497821,27992.2651689485,11761.9948375123
"15","rsaD","Unkn","337(25)",25,"337",24.0242976112865,0,0,11075.995596523,0,158.142934107945,66.4496554080248
"16","rsaD","Unkn","372(25)",25,"372",22.4921124720682,0,0,32559.221997397,0,2194.94996094818,922.290138131038
