"","ps","condition","name","temp","str","bio_Cq_mean","bio_Cq_StDev","bio_Cq_StErrMean","transcripts","transcript_error","Norm1_transcripts","Norm2_transcripts","Norm1_foldchange","Norm2_foldchange"
"1","rpoC","Unkn","337(37)",37,"337",16.9360713931005,0.153216767969216,0.108340615622518,1827202.55334599,197960.249496542,1827202.55334599,36512775.358348,1,1
"2","rpoC","Unkn","372(37)",37,"372",17.2922999529111,0.437369279862254,0.309266783673277,1418974.08031089,438841.549933494,1418974.08031089,1991275.3149261,0.776582802882171,0.0545363998048106
"3","rpoC","Unkn","337(25)",25,"337",17.1718202239385,0,0,1545659.95267965,0,1545659.95267965,3467157.78523523,0.845916042449275,0.0949573882348696
"4","rpoC","Unkn","372(25)",25,"372",18.0864022083854,0,0,807573.003655397,0,807573.003655397,659949.442122549,0.441972348482418,0.0180744803879079
"5","brnQ","Unkn","337(37)",37,"337",21.1794973239531,0.0629645803423827,0.044522681734664,91438.3839132286,4071.0820653007,4575.8353595513,91438.3839132286,1,1
"6","brnQ","Unkn","372(37)",37,"372",17.8181271411944,0.0488347810913354,0.0345314048674439,1011154.72355908,34916.593142847,720544.433589538,1011154.72355908,157.467298749183,11.0583179654469
"7","brnQ","Unkn","337(25)",25,"337",18.354571340999,0,0,689055.658064193,0,307181.213492101,689055.658064193,67.1311770103161,7.53573749420243
"8","brnQ","Unkn","372(25)",25,"372",17.8502200634358,0,0,988218.361296675,0,1209272.1341396,988218.361296675,264.273523656274,10.8074784243175
"9","ilvD","Unkn","337(37)",37,"337",25.7354191246848,0.13492224390567,0.0954044335986044,3713.94058339128,354.326397777315,7.54889195601345,150.848626874794,1,1
"10","ilvD","Unkn","372(37)",37,"372",17.5218143420121,0.210003158623782,0.148494657533471,1258861.35878472,186934.186354857,1116815.27001122,1567249.6836719,147944.264736967,10389.5522030356
"11","ilvD","Unkn","337(25)",25,"337",25.5233042804335,0,0,4316.93422309873,0,12.0569346797481,27.0455961988849,1.59717939400941,0.179289641272857
"12","ilvD","Unkn","372(25)",25,"372",18.4395210190831,0,0,656575.754786502,0,533811.457072205,436231.24064181,70713.8822734071,2891.84760696488
