"","counts","genome"
"1","QV15_00005","QV15_00005"
"2","QV15_00010","QV15_00010"
"3","QV15_00015","QV15_00015"
"4","QV15_00020","QV15_00020"
"5","gyrB","QV15_00025"
"6","QV15_00030","QV15_00030"
"7","QV15_00035","QV15_00035"
"8","QV15_00040","QV15_00040"
"9","QV15_00045","QV15_00045"
"10","QV15_00050","QV15_00050"
"11","QV15_00055","QV15_00055"
"12","QV15_00060","QV15_00060"
"13","QV15_00065","QV15_00065"
"14","QV15_00070","QV15_00070"
"15","QV15_00075","QV15_00075"
"16","QV15_00080","QV15_00080"
"17","QV15_00085","QV15_00085"
"18","QV15_00100","QV15_00100"
"19","QV15_00105","QV15_00105"
"20","QV15_00110","QV15_00110"
"21","QV15_00115","QV15_00115"
"22","QV15_00120","QV15_00120"
"23","QV15_00125","QV15_00125"
"24","QV15_00130","QV15_00130"
"25","QV15_00135","QV15_00135"
"26","QV15_00140","QV15_00140"
"27","QV15_00145","QV15_00145"
"28","QV15_00150","QV15_00150"
"29","QV15_00155","QV15_00155"
"30","QV15_00160","QV15_00160"
"31","QV15_00165","QV15_00165"
"32","QV15_00170","QV15_00170"
"33","QV15_00175","QV15_00175"
"34","QV15_00180","QV15_00180"
"35","QV15_00185","QV15_00185"
"36","QV15_00190","QV15_00190"
"37","QV15_00195","QV15_00195"
"38","QV15_00200","QV15_00200"
"39","QV15_00205","QV15_00205"
"40","QV15_00210","QV15_00210"
"41","QV15_00215","QV15_00215"
"42","QV15_00225","QV15_00225"
"43","QV15_00230","QV15_00230"
"44","QV15_00235","QV15_00235"
"45","QV15_00240","QV15_00240"
"46","QV15_00245","QV15_00245"
"47","QV15_00250","QV15_00250"
"48","QV15_00255","QV15_00255"
"49","QV15_00260","QV15_00260"
"50","QV15_00265","QV15_00265"
"51","QV15_00270","QV15_00270"
"52","QV15_00275","QV15_00275"
"53","QV15_00280","QV15_00280"
"54","QV15_00285","QV15_00285"
"55","QV15_00290","QV15_00290"
"56","QV15_00295","QV15_00295"
"57","QV15_00300","QV15_00300"
"58","QV15_00305","QV15_00305"
"59","QV15_00310","QV15_00310"
"60","QV15_00315","QV15_00315"
"61","QV15_00320","QV15_00320"
"62","QV15_00325","QV15_00325"
"63","QV15_00330","QV15_00330"
"64","QV15_00335","QV15_00335"
"65","QV15_00340","QV15_00340"
"66","QV15_00345","QV15_00345"
"67","QV15_00350","QV15_00350"
"68","QV15_00355","QV15_00355"
"69","QV15_00360","QV15_00360"
"70","QV15_00365","QV15_00365"
"71","QV15_00370","QV15_00370"
"72","QV15_00380","QV15_00380"
"73","QV15_00385","QV15_00385"
"74","QV15_00390","QV15_00390"
"75","QV15_00395","QV15_00395"
"76","QV15_00400","QV15_00400"
"77","QV15_00405","QV15_00405"
"78","QV15_00410","QV15_00410"
"79","QV15_00415","QV15_00415"
"80","QV15_00420","QV15_00420"
"81","QV15_00425","QV15_00425"
"82","QV15_00430","QV15_00430"
"83","QV15_00435","QV15_00435"
"84","QV15_00440","QV15_00440"
"85","QV15_00445","QV15_00445"
"86","QV15_00450","QV15_00450"
"87","QV15_00455","QV15_00455"
"88","QV15_00460","QV15_00460"
"89","QV15_00465","QV15_00465"
"90","QV15_00470","QV15_00470"
"91","QV15_00475","QV15_00475"
"92","QV15_00480","QV15_00480"
"93","QV15_00485","QV15_00485"
"94","QV15_00490","QV15_00490"
"95","QV15_00495","QV15_00495"
"96","QV15_00500","QV15_00500"
"97","QV15_00505","QV15_00505"
"98","QV15_00510","QV15_00510"
"99","QV15_00515","QV15_00515"
"100","QV15_00520","QV15_00520"
"101","QV15_00525","QV15_00525"
"102","QV15_00530","QV15_00530"
"103","QV15_00535","QV15_00535"
"104","QV15_00540","QV15_00540"
"105","QV15_00545","QV15_00545"
"106","QV15_00550","QV15_00550"
"107","QV15_00555","QV15_00555"
"108","QV15_00560","QV15_00560"
"109","QV15_00565","QV15_00565"
"110","QV15_00570","QV15_00570"
"111","QV15_00575","QV15_00575"
"112","QV15_00580","QV15_00580"
"113","QV15_00585","QV15_00585"
"114","QV15_00590","QV15_00590"
"115","QV15_00595","QV15_00595"
"116","QV15_00600","QV15_00600"
"117","QV15_00605","QV15_00605"
"118","QV15_00610","QV15_00610"
"119","QV15_00615","QV15_00615"
"120","QV15_00620","QV15_00620"
"121","QV15_00625","QV15_00625"
"122","QV15_00630","QV15_00630"
"123","QV15_00635","QV15_00635"
"124","QV15_00640","QV15_00640"
"125","QV15_00645","QV15_00645"
"126","QV15_00650","QV15_00650"
"127","QV15_00655","QV15_00655"
"128","argC","QV15_00660"
"129","QV15_00665","QV15_00665"
"130","QV15_00670","QV15_00670"
"131","QV15_00680","QV15_00680"
"132","QV15_00685","QV15_00685"
"133","QV15_00690","QV15_00690"
"134","QV15_00695","QV15_00695"
"135","QV15_00705","QV15_00705"
"136","QV15_00710","QV15_00710"
"137","QV15_00715","QV15_00715"
"138","QV15_00720","QV15_00720"
"139","QV15_00725","QV15_00725"
"140","QV15_00730","QV15_00730"
"141","QV15_00735","QV15_00735"
"142","QV15_00740","QV15_00740"
"143","QV15_00745","QV15_00745"
"144","QV15_00750","QV15_00750"
"145","QV15_00755","QV15_00755"
"146","QV15_00760","QV15_00760"
"147","QV15_00765","QV15_00765"
"148","QV15_00770","QV15_00770"
"149","QV15_00775","QV15_00775"
"150","QV15_00780","QV15_00780"
"151","QV15_00785","QV15_00785"
"152","QV15_00790","QV15_00790"
"153","QV15_00795","QV15_00795"
"154","QV15_00800","QV15_00800"
"155","QV15_00805","QV15_00805"
"156","QV15_00810","QV15_00810"
"157","QV15_00815","QV15_00815"
"158","QV15_00820","QV15_00820"
"159","QV15_00825","QV15_00825"
"160","QV15_00830","QV15_00830"
"161","QV15_00835","QV15_00835"
"162","QV15_00840","QV15_00840"
"163","QV15_00845","QV15_00845"
"164","QV15_00850","QV15_00850"
"165","QV15_00855","QV15_00855"
"166","QV15_00860","QV15_00860"
"167","QV15_00865","QV15_00865"
"168","QV15_00870","QV15_00870"
"169","QV15_00875","QV15_00875"
"170","QV15_00880","QV15_00880"
"171","QV15_00885","QV15_00885"
"172","QV15_00890","QV15_00890"
"173","QV15_00895","QV15_00895"
"174","QV15_00900","QV15_00900"
"175","QV15_00905","QV15_00905"
"176","QV15_00910","QV15_00910"
"177","QV15_00915","QV15_00915"
"178","QV15_00920","QV15_00920"
"179","QV15_00925","QV15_00925"
"180","QV15_00930","QV15_00930"
"181","QV15_00935","QV15_00935"
"182","QV15_00940","QV15_00940"
"183","QV15_00955","QV15_00955"
"184","QV15_00960","QV15_00960"
"185","gatC","QV15_00965"
"186","QV15_00970","QV15_00970"
"187","QV15_00975","QV15_00975"
"188","QV15_00980","QV15_00980"
"189","QV15_00985","QV15_00985"
"190","QV15_00990","QV15_00990"
"191","QV15_00995","QV15_00995"
"192","QV15_01000","QV15_01000"
"193","QV15_01005","QV15_01005"
"194","QV15_01010","QV15_01010"
"195","QV15_01015","QV15_01015"
"196","QV15_01020","QV15_01020"
"197","QV15_01025","QV15_01025"
"198","QV15_01030","QV15_01030"
"199","QV15_01035","QV15_01035"
"200","QV15_01040","QV15_01040"
"201","QV15_01045","QV15_01045"
"202","QV15_01050","QV15_01050"
"203","QV15_01055","QV15_01055"
"204","QV15_01060","QV15_01060"
"205","QV15_01065","QV15_01065"
"206","QV15_01070","QV15_01070"
"207","QV15_01075","QV15_01075"
"208","QV15_01080","QV15_01080"
"209","QV15_01085","QV15_01085"
"210","QV15_01090","QV15_01090"
"211","QV15_01095","QV15_01095"
"212","QV15_01100","QV15_01100"
"213","QV15_01105","QV15_01105"
"214","QV15_01110","QV15_01110"
"215","QV15_01115","QV15_01115"
"216","QV15_01120","QV15_01120"
"217","QV15_01125","QV15_01125"
"218","QV15_01130","QV15_01130"
"219","QV15_01135","QV15_01135"
"220","QV15_01140","QV15_01140"
"221","QV15_01145","QV15_01145"
"222","QV15_01150","QV15_01150"
"223","QV15_01155","QV15_01155"
"224","QV15_01160","QV15_01160"
"225","QV15_01165","QV15_01165"
"226","QV15_01170","QV15_01170"
"227","QV15_01175","QV15_01175"
"228","QV15_01180","QV15_01180"
"229","QV15_01185","QV15_01185"
"230","QV15_01190","QV15_01190"
"231","QV15_01195","QV15_01195"
"232","QV15_01200","QV15_01200"
"233","QV15_01205","QV15_01205"
"234","QV15_01210","QV15_01210"
"235","QV15_01215","QV15_01215"
"236","QV15_01220","QV15_01220"
"237","QV15_01225","QV15_01225"
"238","QV15_01230","QV15_01230"
"239","QV15_01235","QV15_01235"
"240","QV15_01240","QV15_01240"
"241","QV15_01255","QV15_01255"
"242","QV15_01260","QV15_01260"
"243","QV15_01265","QV15_01265"
"244","QV15_01270","QV15_01270"
"245","QV15_01275","QV15_01275"
"246","QV15_01280","QV15_01280"
"247","QV15_01285","QV15_01285"
"248","QV15_01290","QV15_01290"
"249","QV15_01295","QV15_01295"
"250","QV15_01300","QV15_01300"
"251","QV15_01305","QV15_01305"
"252","QV15_01310","QV15_01310"
"253","QV15_01315","QV15_01315"
"254","QV15_01320","QV15_01320"
"255","QV15_01325","QV15_01325"
"256","QV15_01330","QV15_01330"
"257","QV15_01335","QV15_01335"
"258","QV15_01340","QV15_01340"
"259","QV15_01345","QV15_01345"
"260","QV15_01350","QV15_01350"
"261","QV15_01355","QV15_01355"
"262","QV15_01360","QV15_01360"
"263","QV15_01365","QV15_01365"
"264","QV15_01370","QV15_01370"
"265","QV15_01375","QV15_01375"
"266","QV15_01380","QV15_01380"
"267","QV15_01385","QV15_01385"
"268","QV15_01390","QV15_01390"
"269","QV15_01395","QV15_01395"
"270","QV15_01400","QV15_01400"
"271","QV15_01405","QV15_01405"
"272","QV15_01410","QV15_01410"
"273","QV15_01415","QV15_01415"
