,WT_a,WT_b,null_a,null_b,R61K_a,R61K_b,R61H_a,R61H_b,F71Y_a,F71Y_b,Start,End,Strand,Reference,Locus,Gene,Product,Note
BSU00010_dnaA,6293,8602,4339,6691,4614,8632,4093,8830,7656,9657,410,1750,+,chr,BSU00010,dnaA,chromosome replication initiator DnaA,binds to the dnaA-box as an ATP-bound complex at the origin of replication during the initiation of chromosomal replication; can also affect transcription of multiple genes including itself.
BSU00020_dnaN,4009,6370,2647,4488,3001,6044,2586,5885,5441,6468,1939,3075,+,chr,BSU00020,dnaN,DNA polymerase III subunit beta,binds the polymerase to DNA and acts as a sliding clamp
BSU00030_yaaA,858,1413,624,1122,684,1220,648,1452,1170,1276,3206,3421,+,chr,BSU00030,yaaA,RNA binding protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
BSU00040_recF,5350,8466,4354,7175,4106,8349,4329,8047,7283,7729,3437,4549,+,chr,BSU00040,recF,recombination protein F,"Required for DNA replication; binds preferentially to single-stranded, linear DNA"
BSU00050_yaaB,666,1033,448,884,446,1030,453,980,829,1157,4567,4812,+,chr,BSU00050,yaaB,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU00060_gyrB,11259,12059,8609,9902,8496,11568,8281,12140,10827,11676,4867,6783,+,chr,BSU00060,gyrB,DNA gyrase subunit B,negatively supercoils closed circular double-stranded DNA
BSU00070_gyrA,17310,23015,12178,17565,13137,21115,12250,22520,20942,22888,6994,9459,+,chr,BSU00070,gyrA,DNA gyrase subunit A,negatively supercoils closed circular double-stranded DNA
BSU00080_yaaC,672,607,186,139,398,477,330,291,286,711,14847,15794,-,chr,BSU00080,yaaC,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU00090_guaB,30329,36723,7284,9006,13741,24332,9558,15544,24697,27243,15915,17381,+,chr,BSU00090,guaB,inosine 5'-monophosphate dehydrogenase,catalyzes the synthesis of xanthosine monophosphate by the NAD+ dependent oxidation of inosine monophosphate
BSU00100_dacA,12804,27587,9698,19730,10678,22915,8901,23884,21708,24716,17534,18865,+,chr,BSU00100,dacA,D-alanyl-D-alanine carboxypeptidase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 8370539, 9864321; Product type e: enzyme"
BSU00110_yaaD,8801,9211,9759,11652,9359,13255,8775,13358,11901,11866,19062,19946,+,chr,BSU00110,yaaD,pyridoxal biosynthesis lyase PdxS,"with PdxT forms pyridoxal 5'-phosphate from glutamine, either ribose 5-phosphate or ribulose 5-phosphate, and either glyceraldehyde 3-phosphate or dihydroxyacetone phosphate"
BSU00120_yaaE,5840,7623,6013,9272,5697,10188,5398,10233,8523,9876,19968,20558,+,chr,BSU00120,yaaE,glutamine amidotransferase subunit PdxT,with PdxST is involved in the biosynthesis of pyridoxal 5'-phosphate; PdxT catalyzes the hydrolysis of glutamine to glutamate and ammonia; PdxS utilizes the ammonia to synthesize pyridoxal 5'-phosphate
BSU00130_serS,4921,7226,3757,5740,3613,6626,3317,7080,6351,6619,20880,22157,+,chr,BSU00130,serS,seryl-tRNA synthetase,"catalyzes a two-step reaction, first charging a serine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA"
BSU00140_dck,1084,1997,867,1487,1155,1872,843,1826,1776,1869,22496,23149,-,chr,BSU00140,dck,deoxyadenosine/deoxycytidine kinase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11078735, 6251049; Product type e: enzyme"
BSU00150_dgk,1191,1792,856,1225,1074,1654,824,1436,1345,1530,23146,23769,-,chr,BSU00150,dgk,deoxyguanosine kinase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11078735; Product type e: enzyme
BSU00160_yaaH,130,91,230,123,470,179,166,111,98,111,23868,25151,-,chr,BSU00160,yaaH,spore peptidoglycan hydrolase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11011148, 11737650, 12177332, 10419957; Product type e: enzyme"
BSU00170_yaaI,221,216,223,229,300,288,224,245,183,255,25221,25766,-,chr,BSU00170,yaaI,isochorismatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 2521622; Product type pe :  enzyme"
BSU00180_tadA,338,536,347,532,335,601,341,571,552,515,25852,26337,+,chr,BSU00180,tadA,tRNA specific adenosine deaminase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16014871, 16700551; Product type e: enzyme"
BSU00190_dnaX,4876,7743,3489,6130,3659,7728,3223,7768,6797,8624,26814,28505,+,chr,BSU00190,dnaX,DNA polymerase III subunits gamma and tau,"catalyzes the DNA-template-directed extension of the 3'-end of a DNA strand the tau chain serves as a scaffold to help in the dimerizaton of the alpha,epsilon and theta core complex; the gamma chain seems to interact with the delta and delta' subunits to transfer the beta subunit on the DNA"
BSU00200_yaaK,1868,4109,1430,3178,1344,3921,1291,4359,4081,4831,28529,28852,+,chr,BSU00200,yaaK,hypothetical protein,Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16740939; Product type f: factor
BSU00210_recR,1955,3395,1317,2184,1464,3044,1215,3001,2774,3309,28867,29463,+,chr,BSU00210,recR,recombination protein RecR,"involved in a recombinational process of DNA repair, independent of the recBC complex"
BSU00220_yaaL,361,899,223,624,245,918,223,811,750,997,29481,29705,+,chr,BSU00220,yaaL,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU00230_bofA,61,61,47,57,49,80,43,37,56,73,29772,30035,+,chr,BSU00230,bofA,inhibitor of the pro-sigma(K) processing machinery,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15087499; Product type r: regulator
BSU00240_csfB,72,129,40,54,76,179,46,146,128,161,35531,35725,+,chr,BSU00240,csfB,forespore-specific protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15044948, 8759874; Product type cp: cell process"
BSU00250_xpaC,773,1268,560,901,595,1221,556,1171,1061,1248,35845,36459,+,chr,BSU00250,xpaC,phosphatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU00260_yaaN,1487,2782,1182,2063,1357,2721,1127,2420,1986,2548,36478,37638,+,chr,BSU00260,yaaN,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 12533473
BSU00270_yaaO,2600,3445,1892,2349,2093,3326,1937,3021,2609,3284,37720,39162,+,chr,BSU00270,yaaO,lysine decarboxylase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 9723923; Product type pe :  enzyme"
BSU00280_tmk,1196,2365,797,1719,989,2166,835,2074,1818,2334,39159,39797,+,chr,BSU00280,tmk,thymidylate kinase,catalyzes the reversible phosphoryl transfer from adenosine triphosphate (ATP) to thymidine monophosphate (dTMP) to form thymidine diphosphate (dTDP)
